"year","count"
"2025","6"
"2024","78500"
"2023","258490"
"2022","252169"
"2021","246253"
"2020","220767"
"2019","193784"
"2018","175219"
"2017","164225"
"2016","153481"
"2015","145440"
"2014","135605"
"2013","127101"
"2012","115846"
"2011","103345"
"2010","93219"
"2009","85275"
"2008","73100"
"2007","66310"
"2006","62026"
"2005","58153"
"2004","51438"
"2003","47123"
"2002","38114"
"2001","34255"
"2000","31024"
"1999","29433"
"1998","27532"
"1997","26277"
"1996","24701"
"1995","21993"
"1994","20672"
"1993","19699"
"1992","18392"
